id,module,name,file,doc,markers,status,message,duration
test_math.py::test_sqroot,test_math,test_sqroot,test_math.py,,,passed,,0.0008396000000001624
test_math.py::test_sqroot2,test_math,test_sqroot2,test_math.py,,,failed,assert 9 == 2,0.0010004999999999598
